block,Fence,Round,Time,Date,Water,Food,Cover,Mh,ATS,crop_pop,fence_pop,r.month,propcov,Std,biomass,FenceBio,CropBio,Grain,lower,upper
2,7,3,3,2004-12-20,N,Y,Y,42,29,20.02536983,39.61562059,0.03,0.15,2.333333333,485,1.23,1.895,53.3,34,58
2,7,4,4,2005-02-07,N,Y,Y,22,11.87,4.319033047,21.01154264,-0.4,0.35,1.222222222,540,1.465,1.735,53.3,17,35
2,7,5,5,2005-04-11,N,Y,Y,42,19.77,11.24405856,18.35731219,0.32,0.1,2.333333333,500,1.29,1.635,53.3,33,62
2,7,6,6,2005-06-07,N,Y,Y,60,31.78,12.10619475,43.42618152,0.18,0,3.333333333,481,1.215,1.59,53.3,47,83
NA,8,0,0,2004-07-12,Y,Y,Y,11,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,1,1,2004-08-27,Y,Y,Y,22,13.45,19.94193216,7.288354049,NA,0.15,1,511,1.4,0.625,69.5,18,35
2,8,2,2,2004-10-22,Y,Y,Y,22,21.96,32.57876817,11.87814369,0,0,1,519,1.375,2.3,69.5,19,34
2,8,3,3,2004-12-20,Y,Y,Y,56,33.51,27.38005054,40.95591578,0.49,0,2.545454545,474,1.19,1.865,69.5,46,73
2,8,4,4,2005-02-07,Y,Y,Y,39,21.79,4.451046421,44.40757133,-0.23,0,1.772727273,495,1.27,1.975,69.5,32,55
2,8,5,5,2005-04-11,Y,Y,Y,74,44.12,31.62612794,47.00036292,0.32,0,3.363636364,436,1.04,1.575,69.5,60,99
2,8,6,6,2005-06-07,Y,Y,Y,50,20.72,7.787161706,15.45910265,-0.2,0,2.272727273,429,1.01,1.59,69.5,38,72
NA,9,0,0,2004-07-12,N,N,N,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9,1,1,2004-08-27,N,N,N,25,10.3,12.15477045,8.770079468,NA,0.25,1,634,1.875,0.725,97.5,19,38
2,9,2,2,2004-10-22,N,N,N,10,7.95,16.68925455,0,-0.5,0,0.4,533,1.425,2.325,97.5,9,21
2,9,3,3,2004-12-20,N,N,N,17,8.76,7.49603904,10.32074666,0.28,0,0.68,478,1.205,1.7,97.5,13,29
2,9,4,4,2005-02-07,N,N,N,19,10.46,0,23.0182133,0.07,0.05,0.76,505,1.31,1.65,97.5,15,32
2,9,5,5,2005-04-11,N,N,N,27,18.88,11.02713848,31.95399796,0.17,0,1.08,447,1.08,1.525,97.5,22,43
2,9,6,6,2005-06-07,N,N,N,25,11.91,1.418653814,13.42881088,-0.04,0,1,439,1.05,1.485,97.5,18,42
NA,10,0,0,2004-07-12,N,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
